ID,CPC21code,CPC21title,CPC21ExplanatoryNote
15,"01142","Sorghum, other","This subclass includes:- sorghum, species of <i>Sorghum</i>, mainly <i>vulgare, guineense, dura</i>This subclass does not include:- sorghum grown specifically for seed purposes, cf. 01141- sweet sorghum, <i>Sorghum saccharatum</i>, cf. 01809"
16,"0115","Barley",
17,"01151","Barley, seed","This subclass includes:- barley, species of <i>Hordeum</i>, grown specifically for seed purposes, whether or not processedThis subclass does not include:- barley not grown specifically for seed purposes, cf. 01152"
18,"01152","Barley, other","This subclass includes:- barley, species of <i>Hordeum</i>, mainly <i>vulgare, disticum, hexastichon</i>This subclass does not include:- barley grown specifically for seed purposes, cf. 01151"
19,"0116","Rye",
20,"01161","Rye, seed","This subclass includes:- rye, <i>Secale cereale</i>, grown specifically for seed purposes, whether or not processedThis subclass does not include:- rye not grown specifically for seed purposes, cf. 01162"
21,"01162","Rye, other","This subclass includes:- rye, <i>Secale cereale</i>This subclass does not include:- rye grown specifically for seed purposes, cf. 01161"
22,"0117","Oats",
23,"01171","Oats, seed","This subclass includes:- oats, species of <i>Avena</i>, grown specifically for seed purposes, whether or not processedThis subclass does not include:- oats not grown specifically for seed purposes, cf. 01172"
24,"01172","Oats, other","This subclass includes:- oats, species of <i>Avena</i>, mainly <i>A. sativa</i>This subclass does not include:- oats grown specifically for seed purposes, cf. 01171"
25,"0118","Millet",
26,"01181","Millet, seed","This subclass includes:- millet, inter alia <i>Echinochloa frumentacea</i>, <i>Eleusine coracana</i>, <i>Panicum miliaceum</i>, <i>Paspalum scrobiculatum</i>, <i>Pennisetum glaucum</i> and <i>Setaria italica</i>, with many different local names, grown specifically for seed purposes, whether or not processedThis subclass does not include:- millet not grown specifically for seed purposes, cf. 01182- teff (<i>Eragrostis abyssinica)</i>, cf. 01199"
27,"01182","Millet, other","This subclass includes:- millet, inter alia <i>Echinochloa frumentacea</i>, <i>Eleusine coracana</i>,<i> Panicum miliaceum</i>, <i>Paspalum scrobiculatum</i>, <i>Pennisetum glaucum</i> and <i>Setaria italica</i>, with many different local namesThis subclass does not include:- any of the above mentioned items when grown specifically for seed purposes, cf. 01181- teff (<i>Eragrostis abyssinica)</i>, cf. 01199"
28,"0119","Other cereals",
30,"01191","Triticale",
31,"01192","Buckwheat",
32,"01193","Fonio",
33,"01194","Quinoa",
34,"01195","Canary seed",
35,"01199","Other cereals n.e.c.","This subclass includes:- quihuicha or Inca wheat (<i>Amaranthus caudatus</i>)- canagua or coaihua (<i>Chenopodium pallidicaule</i>)- adlay or Job's tears (<i>Coix lacryma-jobi</i>)- teff (<i>Eragrostis abyssinica</i>)- wild rice (<i>Zizania aquatic</i>)- mixed cereal grainsThis subclass does not include:- meslin, cf. 01111, 01112"
36,"012","Vegetables","This group includes vegetables, i.e. temporary crops cultivated principally for human consumption both as field crops and garden crops, in the open and under protective cover. Certain gramineous and leguminous plants, if harvested for their dry grains, are classified as cereals and pulses, but belong to this group when they are harvested while green for their green grains or for their green pods (green maize, green peas, string beans, etc.). This group also includes melons, watermelons, and mushrooms. Vegetables cultivated mainly for animal feed or cultivated only for their seeds are excluded.Vegetables are grouped here according to botanic characteristics as follows: leafy or stem vegetables (with leaves, stems, and/or flowers edible, e.g., cabbages and cauliflowers); fruit-bearing vegetables (with edible fruits, e.g., melons); root, bulb and tuber vegetables (with roots, bulbs, and/or tubes edible, e.g., onions); green leguminous vegetables (containing green grains and green pods, e.g., green peas); other vegetables n.e.c. (e.g., green maize, mushrooms)."
37,"0121","Leafy or stem vegetables",
38,"01211","Asparagus",
39,"01212","Cabbages",
40,"01213","Cauliflowers and broccoli",
41,"01214","Lettuce and chicory",
42,"01215","Spinach",
43,"01216","Artichokes","This subclass includes:- artichokes, <i>Cynara scolymus</i> This subclass does not include:- Jerusalem artichokes, cf. 01599"
44,"01219","Other leafy or stem vegetables","This subclass includes:- chervil, <i>Anthriscus cerefolium</i>- chard- parsley, <i>Petroselinum crispum</i>- common purslain, <i>Portulaca oleracea</i>- sea kale, <i>Crambe maritima</i>- patience - rhubarb, <i>Rheum rhaponticum</i>- sorrel, <i>Rumex acetosa</i>- salad vegetables, other than lettuce (<i>Lactuca sativa</i>) and chicory - summer and winter savory- tarragon- watercress, <i>Nasturtium officinale</i>, <i>Nasturtium microphyllum</i>This subclass does not include:- stimulants, spices and aromatic crops, cf. 016"
45,"0122","Melons",
46,"01221","Watermelons",
47,"01229","Cantaloupes and other melons",
48,"0123","Fruit-bearing vegetables",
49,"01231","Chillies and peppers, green (<i>Capsicum</i> spp. and <i>Pimenta</i> spp.)",
50,"01232","Cucumbers and gherkins",
51,"01233","Eggplants (aubergines)",
52,"01234","Tomatoes",
53,"01235","Pumpkins, squash and gourds","This subclass includes:- species of the <i>Cucurbita</i> (squash, pumpkins, zucchini, etc.) and <i>Lagenaria</i> (gourds) genus of the <i>Cucurbitaceae</i> family, including numerous species and varietiesThis subclass does not include:- watermelons, <i>Citrullus lanatus</i>, cf. 01221- cantaloupes and other melons, cf. 01229"
54,"01239","Other fruit-bearing vegetables","This subclass includes:- fruit-bearing vegetables, not elsewhere classified, such as:* capers* gumbo, okra, ladies' fingers, <i>Hibiscus esculentus</i>* chayote, <i>Sechium edule</i>* tamarillos (tree tomatoes)* tomatillosThis subclass does not include:- watermelons, <i>Citrullus lanatus</i>, cf. 01221- cantaloupes and other melons, cf. 01229- olives, cf. 01450"
55,"0124","Green leguminous vegetables",
56,"01241","Beans, green",
57,"01242","Peas, green",
58,"01249","Other green leguminous vegetables","This subclass includes:- chickpea, Bengal gram, garbanzos, <i>Cicer arietinums</i>- lentils, <i>Lens esculenta</i>, <i>Ervum lens</i>- guar, <i>Cyamopsis tetragonoloba</i>"
59,"0125","Root, bulb or tuberous vegetables",
60,"01251","Carrots and turnips",
61,"01252","Green garlic",
62,"01253","Onions",
63,"01254","Leeks and other alliaceous vegetables",
64,"01259","Other root, bulb and tuberous vegetables, n.e.c.","This subclass includes:- oyster plant- jicama (<i>Pachyrhizus erosus</i>)- celeriac"
65,"0126","Vegetable seeds, except beet seeds",
66,"01260","Vegetable seeds, except beet seeds",
67,"0127","Mushrooms and truffles",
68,"01270","Mushrooms and truffles",
69,"0129","Vegetables, fresh, n.e.c.",
70,"01290","Vegetables, fresh, n.e.c.","This subclass includes:- fresh vegetables, not elsewhere classified, such as:* celery, other than celeriac* bean shoots and sprouts* cactus leaves* chinese water chestnuts, <i>Eleocharis dulcis</i>* fennel (when used as a vegetable)* soya bean sprouts* soya beans, green* pulses (if harvested while green for their green grains or for their green pods)* skirret, <i>Sium sisarum</i>* sweet corn, <i>Zea mays saccarata</i>* green maize (if harvested green for food, mainly <i>Zea mays saccarata</i> (sweet corn))This subclass does not include:- dry maize as grain, cf. 01121, 01122- artichokes, cf. 01216- pumpkins, squash and gourds, cf. 01235- celeriac, cf. 01259- plantains, cf. 01313- water chestnuts, water caltrops, cf. 01379- olives, cf. 01450- fennel, when used as spice, cf. 01654- dry beans, cf. 01701- maize for forage/silage, cf. 01911"
71,"013","Fruits and nuts",
72,"0131","Tropical and subtropical fruits",
73,"01311","Avocados","This subclass includes:- avocados, <i>Persea americana</i>"
74,"01312","Bananas","This subclass includes:- sweet/dessert bananas, <i>Musa sapientum, M. cavendishii, M. nana</i>, i.e. bananas that can be eaten without further preparationThis subclass does not include:- plantains, cooking bananas, <i>Musa paradisiaca</i>, cf. 01313"
75,"01313","Plantains and cooking bananas","This subclass includes:- plantains- cooking bananas, <i>Musa paradisiaca</i>, i.e. bananas that need to be prepared (cooked or boiled) for consumptionThis subclass does not include:- sweet/dessert bananas, <i>Musa sapientum, M. cavendishii, M. nana</i>, cf. 01312"
76,"01314","Dates","This subclass includes:- dates, fruit of the date palm, <i>Phoenix dactylifera</i>"
77,"01315","Figs","This subclass includes:- figs, fruit of plants of the genus <i>Ficus</i>, especially <i>Ficus carica</i>"
78,"01316","Mangoes, guavas and mangosteens","This subclass includes:- mangoes, fruit of <i>Mangifera indica</i>- guavas, fruit of the trees of the genus <i>Psidium</i>, in particular <i>Psidium cattleianum</i> and <i>Psidium guajava</i>- mangosteens, <i>Garcinia mangostana</i>"
79,"01317","Papayas",
80,"01318","Pineapples","This subclass includes:- pineapples, <i>Ananas comosus</i>"
81,"01319","Other tropical and subtropical fruits, n.e.c.","This subclass includes:- durian fruits- soursop, sweetsop and other species of <i>Annona</i>- bilimbi, <i>Averrhoa bilimbi</i>- starfruit, carambola <i>Averrhoa carambola</i>- breadfruit, <i>Artocarpus communis</i>, <i>Artocarpus incisa</i>, <i>Artocarpus integrifolia</i>- pawpaw, <i>Asimina</i>- feijoas- fruit of various species of <i>Sapindaceae</i>, including:* litchis, lychees, <i>Litchi chinensis</i>* longan, mata kucing* pulasan, <i>Nephelium mutabile</i>* rambutan fruit, <i>Nephelium Lappaceum</i> - giant granadillas, granadillas, purple granadillas- jackfruit- langsat, langsat fruit, <i>Lansium domesticum</i>- passion fruit, <i>Passiflora edulis</i>, <i>Passiflora quadrangularis</i>- akee, <i>Blighia sapida</i>- pepinos, <i>Solanum muricatum</i>- rose hips- sapodilla, sapota (chico), <i>Manilkara zapota</i>, <i>Achras zapota</i>"
82,"0132","Citrus fruits",
83,"01321","Pomelos and grapefruits","This subclass includes:- grapefruits, fruit of the grapefruit tree, <i>Citrus paradisi</i>- pomelos, shaddocks, <i>Citrus maxima</i>, or <i>Citrus grandis</i>"
84,"01322","Lemons and limes","This subclass includes:- lemons, fruit of <i>Citrus limon</i>- limes, fruit of <i>Citrus aurantifolia</i> and <i>Citrus latifolia</i>This subclass does not include:- citrons, cf. 01329"
85,"01323","Oranges","This subclass includes:- oranges, <i>Citrus sirensis</i>- bitter oranges, <i>Citrus aurantium</i>This subclass does not include:- bergamots, cf. 01329- chinottos, cf. 01329"
86,"01324","Tangerines, mandarins, clementines","This subclass includes:- tangerines, mandarins and clementines, fruits of <i>Citrus reticulata</i>"
87,"01329","Other citrus fruit, n.e.c.","This subclass includes:- bergamots, <i>Citrus aurantium</i> subsp. <i>bergamia</i>- chinottos, fruit of the myrtle-leaved orange, <i>Citrus aurantium</i> var. <i>myrtfolia</i>- citrons, <i>Citrus medica</i>- kumquats, species of <i>Fortunella</i>This subclass does not include:- lemons, cf. 01322"
88,"0133","Grapes",
89,"01330","Grapes",
90,"0135","Berries and other fruits",
91,"01351","Currants and gooseberries","This subclass includes:- currants, berries of <i>Ribes</i>* redcurrant, whitecurrant, <i>Ribes rubrum</i>* blackcurrant, <i>Ribes nigrum</i>- gooseberries, <i>Ribes uva-crispa</i> or <i>Ribes grossularia</i>This subclass does not include:- chinese gooseberries, kiwi fruits, cf. 01352"
92,"01352","Kiwi fruit",
93,"01353","Raspberries, blackberries, mulberries and loganberries",
94,"01354","Strawberries",
95,"01355","Other berries; fruits of the genus <i>Vaccinium</i>","This subclass includes:- cranberries, bilberries and other fruits of the genus <i>Vaccinium</i>:* cranberries* bilberries* blueberries* foxberries* cowberries* huckleberries* myrtleberries- arbutus fruit, <i>Arbutus unedo</i>, strawberry-tree fruit- barberries, <i>Berberis vulgaris</i>- boysenberries- cape gooseberries- elderberries- rowan berries, <i>Sorbus aucuparia</i>- service-berries, <i>Sorbus domestica</i>, <i>Sorbus aria</i>- sorbs (or sorb apples)This subclass does not include:- tropical and subtropical berries and fruits, such as:* lychees, litchis, longans, mata kucing, akee, pepinos, cf. 01319"
96,"0134","Pome fruits and stone fruits",
97,"01341","Apples",
98,"01342","Pears and quinces",
99,"01343","Apricots",
100,"01344","Cherries",
101,"01345","Peaches and nectarines",
102,"01346","Plums and sloes",
103,"01349","Other pome fruits and stone fruits","This subclass includes:- Japanese medlars or loquats, <i>Eriobotrya japonica</i>- medlars, <i>Mespilus germanica</i>- common jujube, <i>Zizyphus jujube</i>"
104,"0136","Fruit seeds",
105,"01360","Fruit seeds","This subclass includes:- all fruit seeds grown specifically for seed purposesThis subclass does not include:- seeds of forest trees (including pine cones bearing seeds), cf. 01990- tobacco seeds, cf. 01990- seeds of plants of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes (including, inter alia, ginseng, coca, kava, guarana), cf. 01990"
106,"0137","Nuts (excluding wild edible nuts and groundnuts), in shell","This class includes nuts in shell.This class does not include:- groundnuts (peanuts), cf. 0142- wild edible nuts, cf. 03230- shelled nuts, cf. 2142"
107,"01371","Almonds, in shell",
108,"01372","Cashew nuts, in shell",
109,"01373","Chestnuts, in shell","This subclass includes:- chestnuts, nuts of <i>Castanea</i>This subclass does not include:- Chinese water chestnuts, <i>Eleocharis dulcis</i>, cf. 01290- water chestnuts, <i>Trapa natans</i>, cf. 01379- shelled chestnuts, cf. 21429- horse chestnuts, cf. 39120"
110,"01374","Hazelnuts, in shell",
111,"01375","Pistachios, in shell","This subclass includes:- pistachios, seeds from the fruit of <i>Pistacia vera</i>"
112,"01376","Walnuts, in shell",
113,"01377","Brazil nuts, in shell",
114,"01379","Other nuts (excluding wild edible nuts and groundnuts), in shell","This subclass includes:- areca nuts (betel nuts)- water chestnuts, <i>Eleocharis dulcis</i>- water caltrops, <i>Trapa natans</i>- kola nuts- ginkgo nuts- macadamia nuts- pecan nuts- pignolia nuts- pine nutsThis subclass does not include:- Chinese water chestnuts, <i>Eleocharis dulcis</i>, cf. 01290- wild edible nuts, cf. 03230- shelled nuts, cf. 2142"
116,"01356","Locust beans (carobs)","This subclass includes:- Locust beans (carobs), <i>Ceratonia siliqua</i>"
117,"01359","Other fruits, n.e.c.","This subclass includes:- persimmon- prickly pear, cactus fig - bel fruit, Bengal quince, <i>Aegle marmelos</i>- Chinese lantern, <i>Physalis alkekengi</i>- Various species of <i>Diospyros</i>- <i>Flacourtia cataphracta</i>- sea-buckthorn, <i>Hippophae rhamnoides</i>- pomegranates - tamarind- pitayaThis subclass does not include:- bilimbi, <i>Averrhoa bilimbi</i>, starfruit, carambola <i>Averrhoa carambola</i>, cf. 01319- kiwi fruits, Chinese gooseberries, <i>Actinidia arguta</i>, <i>Actinidia chinensis</i>, cf. 01352"
118,"014","Oilseeds and oleaginous fruits","This group includes oil-bearing crops, i.e. annual and perennial plants whose seeds (oilseeds), fruits or mesocarp, nuts and kernels (oil palm) are used primarily for extraction of culinary and industrial oils and fats, excluding essential oils."
119,"0141","Soya beans",
120,"01411","Soya beans, seed for planting","This subclass includes:- soya beans, <i>Glycine soja</i>, grown specifically for seed purposes This subclass does not include:- soya beans not grown specifically for seed purposes, cf. 01412"
121,"01412","Soya beans, other","This subclass includes:- soya beans, <i>Glycine soja</i>This subclass does not include:- soya beans grown specifically for seed purposes, cf. 01411"
122,"0142","Groundnuts, excluding shelled",
123,"01421","Groundnuts, seed for planting","This subclass includes:- groundnuts (peanuts), <i>Arachis hypogaea</i>, grown specifically for seed purposes This subclass does not include:- groundnuts (peanuts) not grown specifically for seed purposes, cf. 01422"
124,"01422","Groundnuts, in shell","This subclass includes:- groundnuts (peanuts), <i>Arachis hypogaea</i> This subclass does not include:- groundnuts (peanuts), <i>Arachis hypogaea</i>, grown specifically for seed purposes, cf. 01421"
125,"0143","Cottonseed",
126,"01431","Cottonseed, seed for planting","This subclass includes:- cottonseed, species of <i>Gossypium</i>, grown specifically for seed purposesThis subclass does not include:- cottonseed not grown specifically for seed purposes, cf. 01432"
127,"01432","Cottonseed, other","This subclass includes:- cottonseed, species of <i>Gossypium</i>This subclass does not include:- cottonseed grown specifically for seed purposes, cf. 01431"
128,"0144","Other oilseeds",
129,"01441","Linseed",
130,"01442","Mustard seed",
131,"01443","Rape or colza seed",
132,"01444","Sesame seed",
133,"01445","Sunflower seed",
134,"01446","Safflower seed","This subclass includes:- safflower seed, <i>Carthamus tinctorius</i>"
135,"01449","Other oilseeds, n.e.c.","This subclass includes:- castor beans, <i>Ricinus communis</i> (non food)- crambe seeds, <i>C. abyssinica</i>- hempseeds, <i>Cannabis sativa</i>- other oil seeds n.e.c."
136,"0145","Olives",
137,"01450","Olives","This subclass includes:- olives, <i>Olea europaea</i>"
138,"0146","Coconuts, in shell",
139,"01460","Coconuts, in shell","This subclass includes:- coconuts, <i>Cocos nucifera</i>, in the shell, i.e. the inner shell (endocarp) or the outer shell (mesocarp or exocarp)This subclass does not include:- shelled coconuts, cf. 21429"
140,"0149","Other oleaginous fruits",
141,"01491","Palm nuts and kernels","This subclass includes:- nuts and kernels of the oil palm fruit, <i>Elaeis guineensis</i>"
142,"01499","Other oleaginous fruits, n.e.c.","This subclass includes:- karite nuts, <i>Butyrospermum parkii</i>- tung nuts, <i>Aleurites fordii</i>- jojoba, <i>Simmondsia californica</i>- tallow tree seeds, <i>Sapium sebiferum</i>- kapok seeds, <i>Ceiba pentandra</i> (yield also fibres)- perilla, <i>Camellia japonica</i>- neem seed tree, <i>Azadirachta indica</i>- mohwa seeds, <i>Bassia latifolia</i>- oiticica tree, <i>Licania rigida</i> - karanja- pungam seeds"
143,"015","Edible roots and tubers with high starch or inulin content","This group includes roots and tubers, i.e. plants grown generally as annual crops, yielding roots, tubers, rhizomes, corms and stems that are mainly used for human consumption. Excluded from this group are roots and tubers used mainly for feed, for processing into sugar, and those classified as vegetables."
144,"0151","Potatoes",
145,"01510","Potatoes",
146,"0159","Other edible roots and tubers with high starch or inulin content",
147,"01530","Sweet potatoes",
148,"01520","Cassava",
149,"01540","Yams","This subclass includes:- yams, tubers from vines of the genus <i>Dioscorea</i>* <i>D. batatas</i>* <i>D. trifida</i>* <i>D. alata</i>* <i>D. bulbifera</i>* <i>D. rotunda</i>* <i>D. cayenensis</i>* <i>D. exculenta</i>* <i>D. dumetorum</i>This subclass does not include:- sweet potatoes, cf. 01530"
150,"01599","Other edible roots and tubers with high starch or inulin content, n.e.c.","This subclass includes:- arrowroots, <i>Maranta</i>- lotus roots, rhizomes of <i>Nelumbo nucifera</i>- salep, tubers of <i>Orhcis mascula</i>- corm of species of <i>Xanthosoma</i>, such as:* cocoyam* malanga* tannia* macabo* elephant's ear- Jerusalem artichokes, girasole, <i>Helianthus tuberosus</i>- roots of species of <i>Dahlia</i>- tacca, <i>Tacca pinnatifida</i>This subclass does not include:- tubers of konjac, <i>Amorphophallus konjac</i>, cf. 01990"
151,"016","Stimulant, spice and aromatic crops","This group includes stimulants, spices and aromatic crops, as explained below.Stimulants are permanent trees or shrubs whose fruits or leaves are characterized by their alkaloid content, such as caffeine, theobromine and theine.Spices are plants which in one or the other of their components (rhizome, bark, fruits, berries, seeds, etc.), contain strongly flavoured and aromatic substances. For that reason they are used mainly as condiments, but have also applications for cosmetic and medicinal preparations. Most of these plants are perennial.Aromatic crops are leaves and seeds of numerous plants with less strong flavoured substances than spices but largely used in the kitchen. Most of these plants are spontaneous (not cultivated)."
152,"0161","Coffee, green",
153,"01610","Coffee, green",
154,"0162","Tea leaves",
155,"01620","Tea leaves",
156,"0163","Maté leaves",
157,"01630","Maté leaves",
158,"0164","Cocoa beans",
159,"01640","Cocoa beans",
160,"0165","Spice and aromatic crops, raw","This class includes spices, i.e. plants which in one of their components (rhizome, bark, fruits, berries, seeds, etc.) contain strongly flavoured and aromatic substances. For that reason they are used mainly as condiments, but have also applications in cosmetic and medicinal preparations. Most of these plants are perennial."
161,"01651","Pepper (<i>Piper</i> spp.), raw",
162,"01652","Chillies and peppers, dry (<i>Capsicum</i> spp., <i>Pimenta</i> spp.), raw","This subclass includes:- raw, dried fruits of plants of the genus <i>Capsicum</i>* capsicum, sweet pepper* chilli pepper* cultivars of <i>Capsicum annuum</i>** cayenne pepper** jalapeno pepper** anaheim pepper** paprika, bell pepper** ancho pepper** pimento- raw, dried fruits of plants of the genus <i>Pimenta</i>* allspice, Jamaica pepper <i>Pimenta dioica</i>This subclass does not include:- chillies and peppers, green, cf. 01231- dry chillies and peppers, crushed, ground or otherwise processed, cf. 23922"
163,"01653","Nutmeg, mace, cardamoms, raw","This subclass includes:- nutmeg from true nutmeg tree, <i>Myristica fragrans</i>, and many ""pseudo nutmegs"", as nutmeg or mace, raw- cardamoms, <i>Elettaria cardamomum</i>, and several ""false cardamoms"", from species of <i>Amomum and Aframomum</i>, rawThis subclass does not include:- processed nutmeg, mace or cardamoms, cf. 23923"
164,"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","This subclass includes:- aniseed, <i>Pimpinella anisum</i>, raw- star anise (badian) or Chinese star anise, <i>Illicium verum</i>, raw- fennel, <i>Foeniculum vulgare</i>, raw (when used as spice)- coriander (cilantro), <i>Coriandrum sativum</i>, raw- cumin, <i>Cuminum cyminum</i>, raw- caraway seeds, <i>Carum carvi</i>, raw- juniper berries, <i>Juniperus communis</i>, rawThis subclass does not include:- fennel (when used as a vegetable), cf. 01290- processed anise, fennel, coriander, cumin, caraway and juniper berries, cf. 23924"
165,"01655","Cinnamon and cinnamon-tree flowers, raw",
166,"01656","Cloves (whole stems), raw","This subclass includes:- cloves, i.e. fruits of evergreen trees <i>Syzygium aromaticum, Eugenia caryophyllata, cariophillus aromaticus</i>, rawThis subclass does not include:- processed cloves, cf. 23926"
167,"01657","Ginger, raw","This subclass includes:- ginger, <i>Zingiber officinalie</i> This subclass does not include:- processed ginger, including scraped ginger and ginger in brine, cf. 23927"
168,"01658","Vanilla, raw","This subclass includes:- vanilla, <i>Vanilla planifolia and V. fragrans</i>, raw This subclass does not include:- processed vanilla, cf. 23928"
169,"01659","Hop cones",
170,"0169","Stimulant, spice and aromatic crops, n.e.c.",
172,"01691","Chicory roots",
173,"01699","Other stimulant, spice and aromatic crops, n.e.c.","This subclass includes:- saffron, <i>Crocus sativus</i>- turmeric, Curcuma, Indian saffron, <i>Curcuma longa</i>- dill and dill seeds, <i>Anethum graveolens</i>- curry powders and pastes- thyme, <i>Thymus</i>- bay leaves, <i>Laurus nobilis</i>- Guinea pepper, negro pepper, seeds of <i>Xylopia aethiopica</i>- angelica stemsThis subclass does not include:- locust beans (carobs), cf. 01356- unroasted chicory roots, varieties <i>Cichorium intybus sativum</i>, cf. 01691- unroasted chicory roots, varieties other than <i>Cichorium intybus sativum</i>, cf. 01961- sugar cane, cf. 01802- sweet sorghum, <i>Sorghum saccharatum</i>, cf. 01809- guarana nuts, cf. 01930- kava, cf.01930- basil and basil seeds, <i>Ocinum basilicum</i>, cf. 01930- apricot, peach and plum stones and kernels, cf. 21499- roasted chicory and other roasted coffee substitutes, cf. 23912"
174,"017","Pulses (dried leguminous vegetables)","This group includes pulses, i.e. annual leguminous crops yielding grains or seeds of different sizes, shapes and colours contained in various numbers within a pod. The term ""pulses"" should be limited to crops harvested for dry grains only, excluding, therefore, those harvested green for the seeds or for the pods or both."
175,"0170","Pulses (dried leguminous vegetables)",
176,"01701","Beans, dry","This subclass includes:- beans, species of <i>Phaseolus (vulgaris, lunatus, angularis, aureus, etc.)</i>- beans, species of <i>Vigna (angularis, mungo, radiata, unguiculata, etc.)</i>This subclass does not include:- soya beans, cf. 0141- green beans, cf. 01241- lentils, green, cf. 01249- bean shoots and sprouts, cf. 01290- locust beans (carobs), cf. 01356- castor beans, cf. 01449- broad beans and horse beans, dry, cf. 01702- garbanzo beans (chickpeas), dry, cf. 01703- lentils, dry, cf. 01704"
177,"01702","Broad beans and horse beans, dry",
178,"01703","Chick peas, dry",
179,"01704","Lentils, dry",
180,"01705","Peas, dry",
181,"01709","Pulses, n.e.c.",
182,"018","Sugar crops",
183,"0180","Sugar crops",
184,"01801","Sugar beet",
185,"01802","Sugar cane","This subclass includes:- sugar cane, <i>Saccharum officinarum</i>"
186,"01803","Sugar beet seeds",
187,"01809","Other sugar crops n.e.c.","This subclass includes:- sugar crops not elsewhere classified, such as:* sugar maple, <i>Acer saccharum</i>* sweet sorghum, <i>Sorghum saccharatum</i>* Stevia leaves (<i>Stevia rebaudiana</i>)This subclass does not include:- locust beans (carobs), cf. 01356- sugar beet, cf. 01801- sugar cane, cf. 01802- sugar beet seeds, cf. 01803"
188,"019","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials",
189,"0191","Forage products",
190,"01911","Maize for forage and silage","This subclass includes:- maize, <i>Zea mays</i>, for forage and silage"
191,"01912","Alfalfa for forage and silage","This subclass includes:- alfalfa, <i>Medicago sativa</i>, for forage and silage"
192,"01913","Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",
193,"01919","Forage products, n.e.c.","This subclass includes:- beet, <i>Beta vulgaris</i>, forage- carrot, forage- turnips, forage- sorghum, forage- clover- kale- lupines- sainfoin- vetches- hay- rutabagas, forageThis subclass does not include:- forage maize, cf. 01911- alfalfa, cf. 01912- crops not grown for forage purposes, cf. 011, 012"
194,"0192","Fibre crops",
195,"01921","Cotton, whether or not ginned",
196,"01922","Jute, kenaf, and other textile bast fibres, raw or retted, except flax, true hemp and ramie",
197,"01929","Other fibre crops, raw, n.e.c.","This subclass includes:- flax, raw or retted- true hemp, raw or retted- coconut fibres, coir- abaca, Manila hemp, <i>Musa textilis</i>- esparto- aloe fibres- pineapple fibres- bowstring hemp- caroa- ramie (China grass)- African hemp- typha fibres- yucca fibres"
198,"0193","Plants and parts of plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes",
199,"01930","Plants and parts of plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes",
200,"0194","Beet seeds (excluding sugar beet seeds) and seeds of forage plants",
201,"01940","Beet seeds (excluding sugar beet seeds) and seeds of forage plants",
202,"0195","Natural rubber in primary forms or in plates, sheets or strip",
